NACE Rev.2 grouped hierarchy (Section > Division > Group > Class),,,,,,,,,,,,,,,,
"Use the +/- outline controls at left to expand Sections to Divisions, Divisions to Groups, and Groups to Classes.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
level_depth,level,node_code,node_name,node_key,parent_key,section_code,section_name,division_code,division_name,group_code,group_name,class_code,class_name,hierarchy_path_codes,hierarchy_path_names,source_row_number
1,section,A,"AGRICULTURE, FORESTRY AND FISHING",section:A,,A,"AGRICULTURE, FORESTRY AND FISHING",,,,,,,A,"AGRICULTURE, FORESTRY AND FISHING",6
2,division,01,"Crop and animal production, hunting and related service activities",division:01,section:A,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",,,,,A | 01,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities",7
3,group,01.1,Growing of non-perennial crops,group:01.1,division:01,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.1,Growing of non-perennial crops,,,A | 01 | 01.1,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Growing of non-perennial crops",8
4,class,01.11,"Growing of cereals (except rice), leguminous crops and oil seeds",class:01.11,group:01.1,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.1,Growing of non-perennial crops,01.11,"Growing of cereals (except rice), leguminous crops and oil seeds",A | 01 | 01.1 | 01.11,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Growing of non-perennial crops | Growing of cereals (except rice), leguminous crops and oil seeds",9
4,class,01.12,Growing of rice,class:01.12,group:01.1,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.1,Growing of non-perennial crops,01.12,Growing of rice,A | 01 | 01.1 | 01.12,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Growing of non-perennial crops | Growing of rice",10
4,class,01.13,"Growing of vegetables and melons, roots and tubers",class:01.13,group:01.1,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.1,Growing of non-perennial crops,01.13,"Growing of vegetables and melons, roots and tubers",A | 01 | 01.1 | 01.13,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Growing of non-perennial crops | Growing of vegetables and melons, roots and tubers",11
4,class,01.14,Growing of sugar cane,class:01.14,group:01.1,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.1,Growing of non-perennial crops,01.14,Growing of sugar cane,A | 01 | 01.1 | 01.14,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Growing of non-perennial crops | Growing of sugar cane",12
4,class,01.15,Growing of tobacco,class:01.15,group:01.1,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.1,Growing of non-perennial crops,01.15,Growing of tobacco,A | 01 | 01.1 | 01.15,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Growing of non-perennial crops | Growing of tobacco",13
4,class,01.16,Growing of fibre crops,class:01.16,group:01.1,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.1,Growing of non-perennial crops,01.16,Growing of fibre crops,A | 01 | 01.1 | 01.16,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Growing of non-perennial crops | Growing of fibre crops",14
4,class,01.19,Growing of other non-perennial crops,class:01.19,group:01.1,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.1,Growing of non-perennial crops,01.19,Growing of other non-perennial crops,A | 01 | 01.1 | 01.19,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Growing of non-perennial crops | Growing of other non-perennial crops",15
3,group,01.2,Growing of perennial crops,group:01.2,division:01,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.2,Growing of perennial crops,,,A | 01 | 01.2,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Growing of perennial crops",16
4,class,01.21,Growing of grapes,class:01.21,group:01.2,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.2,Growing of perennial crops,01.21,Growing of grapes,A | 01 | 01.2 | 01.21,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Growing of perennial crops | Growing of grapes",17
4,class,01.22,Growing of tropical and subtropical fruits,class:01.22,group:01.2,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.2,Growing of perennial crops,01.22,Growing of tropical and subtropical fruits,A | 01 | 01.2 | 01.22,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Growing of perennial crops | Growing of tropical and subtropical fruits",18
4,class,01.23,Growing of citrus fruits,class:01.23,group:01.2,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.2,Growing of perennial crops,01.23,Growing of citrus fruits,A | 01 | 01.2 | 01.23,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Growing of perennial crops | Growing of citrus fruits",19
4,class,01.24,Growing of pome fruits and stone fruits,class:01.24,group:01.2,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.2,Growing of perennial crops,01.24,Growing of pome fruits and stone fruits,A | 01 | 01.2 | 01.24,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Growing of perennial crops | Growing of pome fruits and stone fruits",20
4,class,01.25,Growing of other tree and bush fruits and nuts,class:01.25,group:01.2,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.2,Growing of perennial crops,01.25,Growing of other tree and bush fruits and nuts,A | 01 | 01.2 | 01.25,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Growing of perennial crops | Growing of other tree and bush fruits and nuts",21
4,class,01.26,Growing of oleaginous fruits,class:01.26,group:01.2,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.2,Growing of perennial crops,01.26,Growing of oleaginous fruits,A | 01 | 01.2 | 01.26,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Growing of perennial crops | Growing of oleaginous fruits",22
